# Thx
# https://wikiwiki.jp/nenaiko/
# https://a-to-monhan.com/2020/12/28/rise-kannji-yomikata/

# 武器3(笛,軽弩,重弩)

##########
# 笛
しゅりょうぶえ  狩猟笛	名詞
ぜのまなしーな	ゼノ＝マナシーナ	名詞
ぜの	ゼノ	名詞
まなしーな	マナシーナ	名詞
せろゔぃせろ	セロヴィセロ	名詞
そうごんなるくろすくお	荘厳なるクロスクオ	名詞
くろすくお	クロスクオ	名詞
つめたきつきのげんがっき	冷たき月の弦楽器	名詞
でぃーぷゔぇろう	ディープヴェロウ	名詞
ておおるふぇす	テオ＝オルフェス	名詞
てお	テオ	名詞
おるふぇす	オルフェス	名詞
でゅあるほるん	デュアルホルン	名詞
でゅーくぐれいる	デュークグレイル	名詞
でんじゃーこーる	デンジャーコール	名詞
でんでんたいこ	電電太鼓	名詞
どがんごくぶえ	弩岩獄笛	名詞
どがんごくぶえ	弩岩獄笛【激楽打】	名詞
はげしくたのしくうて	激楽打	名詞
どくそうてきげりょす	毒奏笛ゲリョス	名詞
どくそうてき	毒奏笛	名詞
げりょす	ゲリョス	名詞
どくふえかぷり	毒笛カプリ	名詞
どくふ	毒笛	名詞
かぷり	カプリ	名詞
どしゃしょう	土砂笙	名詞
どしゃしょう	土砂笙【戦ノ音】	名詞
いくさのね	戦ノ音	名詞
どどっとぼろん	ドドットボロン	名詞
どらぐま	ドラグマ	名詞
どらぐま	ドラグマ【参式】	名詞
さんしき	参式	名詞
とらんぺっこ	トランペッコ	名詞
とるぺどゔぁっふぇ	トルペド・ヴァッフェ	名詞
とるぺど	トルペド	名詞
ゔぁっふぇ	ヴァッフェ	名詞
ねぐるどねびあ	ネグルドネビア	名詞
ねこふえ	猫笛	名詞
ねぶらこるす	ネブラコルス	名詞
ねるがるぐるーゔ	ネルガルグルーヴ	名詞
はがんりんいえろぐらふ	破岩鈴イエログラフ	名詞
ばくりんのたいこ	爆鱗の太鼓	名詞
ばくりん	爆鱗	名詞
たいこ	太鼓	名詞
はてきはうかむとるむ	覇笛ハウカムトルム	名詞
はてき	覇笛	名詞
はうかむとるむ	ハウカムトルム	名詞
ばるんほるん	バルンホルン	名詞
ぴーひゃらぐーく	ぴーひゃらグーク	名詞
ひきおとし	ヒキ音シ	名詞
ひどぅんとーん	ヒドゥントーン	名詞
ひもうふえ	緋猛笛	名詞
ひもうふえ	緋猛笛【捧舞】	名詞
ほうぶ	捧舞	名詞
ひゃくりゅうふえ	百竜笛	名詞
ひゅどろすほるん	ヒュドロスホルン	名詞
ふぁいんれべる	ファイン・レベル	名詞
ぶらすげにあ	ブラスゲニア	名詞
ぶれいずほるん	ブレイズホルン	名詞
ぶるーむほるん	ブルームホルン	名詞
ふるふるべいびー	フルフルBABY	名詞
ふるふるほるん	フルフルホルン	名詞
ぶるぐらんと	ブルグラント	名詞
ふれいむふらっぷ	フレイムフラップ	名詞
べりむぐらっせ	ベリムグラッセ	名詞
べるだーほるん	ベルダーホルン	名詞
べるなる	ベルナル	名詞
ほうてきえいこかむるばす	崩笛イコカムルバス	名詞
ほうてき	崩笛	名詞
えいこかむるばす	イコカムルバス	名詞
ほうてきのきんぞくき	宝笛の金属器	名詞
ほうてき	宝笛	名詞
きんぞくき	金属器	名詞
ぼーんほるん	ボーンホルン	名詞
ぽりあふぱいぷ	ポリアフパイプ	名詞
ほわいとぶらいどべる	ホワイトブライドベル	名詞
まがつびわ	禍ツ琵琶	名詞
まがつびわ	禍ツ琵琶【封】	名詞
まぎあちゃーむ	マギアチャーム	名詞
まじんのおかりな	マジンノオカリナ	名詞
まどろみおーぼわ	マドロミオーボワ	名詞
みらあんせすらいど	ミラアンセスライド	名詞
みらめのす	ミラメノス	名詞
みらめのすそうる	ミラメノスソウル	名詞
めいふちだいふえとぅりぱ	冥淵大笛トゥリパ	名詞
めたるばぐぱいぷ	メタルバグパイプ	名詞
めろうふぉろう	メロウフォロウ	名詞
もゆるしゅうえんをうたうつばさ	燃ユル終焉ヲ謳ウ翼	名詞
ゆくものふえ	ユクモノ笛	名詞
らいめいのふえ	雷鳴ノ笛	名詞
らゔぁあるぱ	ラヴァアルパ	名詞
らぎあほーん	ラギアホーン	名詞
らんぽすばるーん	ランポスバルーン	名詞
りじゅうのくさぶえ	狸獣の草笛	名詞
りじゅう	狸獣	名詞
りもかりーな	リモカリーナ	名詞
りゅうのごう	リュウノトドロキ	名詞
りゅうぼくのこてき	龍木ノ古笛	名詞
りゅうぼく	龍木	名詞
こてき	古笛	名詞
るなーりこーだー	ルナーリコーダー	名詞
れいせくたーど	レイ＝セクタード	名詞
れい	レイ	名詞
せくたーど	セクタード	名詞
ろあるどら	ロア＝ルドラ	名詞
ろあ	ロア	名詞
るどら	ルドラ	名詞
ろうがきん	狼牙琴	名詞
ろうがきん	狼牙琴【異獄】	名詞
いごく	異獄	名詞
ろーぜんぎたれ	ローゼンギタレ	名詞
わーじゃあるりじる	ワージャアルリジル	名詞
わんでりおん	ワンデリオン	名詞
ろくさんしきぐんがくくちふうきん	63式軍楽口風琴	名詞

##########
# 軽弩
らいとぼうがん	ライトボウガン	名詞
らいとぼうがん	軽弩	名詞
けいど	軽弩	名詞
あーむきゃのん	アームキャノン	名詞
あいすいーぐる	アイスイーグル	名詞
あいるーらぐどーる	アイルーラグドール	名詞
あかしまのしんど	あかしまの神弩	名詞
あかしま	あかしま	名詞
しんど	神弩	名詞
あさるとこんが	アサルトコンガ	名詞
あずらくゔぁや	アズラクヴァヤ	名詞
あぶそりゅうど	阿武祖龍弩	名詞
あめざりぼうがん	アメザリボウガン	名詞
いえろーばなーな	イエロー・バナーナ	名詞
ばなーな	バナーナ	名詞
いびるましーん	イビルマシーン	名詞
ゔぁるきりーふぁいあ	ヴァルキリーファイア	名詞
うぇる	ウェル	名詞
うらないらんぷ	ウラナイランプ	名詞
うろことるねーど	ウロコトルネード	名詞
うんめいをやきつくすじゅうだん	運命ヲ焼キ尽クス銃弾	名詞
えびぃーがん	エビィーガン	名詞
えるどらますけっと	エルドラマスケット	名詞
えんおうえんど	炎王焔弩	名詞
えんぷれすしぇる	エンプレスシェル	名詞
おうがど	王牙弩	名詞
おうがど	王牙弩【野雷】	名詞
のづち	野雷	名詞
おうこくきしけいいしゆみしゃりて	王国騎士軽弩シャリテ	名詞
おうこくきしけいど	王国騎士軽弩	名詞
しゃりて	シャリテ	名詞
おにがしま	鬼ヶ島	名詞
おるどまきな	オルドマキナ・LB	名詞
おるどまきな	オルドマキナ	名詞
えるびー	LB	名詞
がいらぶりっつ	ガイラブリッツ	名詞
かぜのぞくじゅう	風ノ賊銃	名詞
かむらのてつけいど	カムラノ鉄軽弩	名詞
かりゅうど	火竜弩	名詞
かりゅうほう	火竜砲	名詞
がろんらいふる	ガロンライフル	名詞
かんたろすがん	カンタロスガン	名詞
かんなりのしんど	かんなりの神弩	名詞
かんなり	かんなり	名詞
しんど	神弩	名詞
かんぱするくろはりのけいど	貫破する黒針の軽弩	名詞
かんぱするくろはり	貫破する黒針	名詞
きかんじゅう	気艦銃	名詞
きぼりけんじゅう	木彫犬銃	名詞
きめんぞくのひど	奇面族の秘弩	名詞
きめんぞく	奇面族	名詞
ひど	秘弩	名詞
きゃらばんがん	キャラバンガン	名詞
きょかいといふなのしろむくろ	巨蟹といふ名の白骸	名詞
きょかい	巨蟹	名詞
きょじゅうど	巨獣弩	名詞
きょうしん	凶針	名詞
きょうしん	凶針【水禍】	名詞
すいか	水禍	名詞
ぎんかりゅうけいど	銀火竜軽弩	名詞
ぎんかりゅうけいど	銀火竜軽弩【天王】	名詞
てんのう	天王	名詞
ぎんよくのれんど	銀翼の連弩	名詞
ぎんよく	銀翼	名詞
れんど	連弩	名詞
くぅいるばーすと	クゥイルバースト	名詞
くっくあんがー	クックアンガー	名詞
ぐれねーどぼうがん	グレネードボウガン	名詞
こくおびぼうがん	クロオビボウガン	名詞
こくすぼうがん	クロスボウガン	名詞
けいかんのですとふぃあ	荊冠のデストフィア	名詞
けいかん	荊冠	名詞
ですとふぃあ	デストフィア	名詞
まぼろしじゅうとう	幻獣筒	名詞
まぼろしじゅうとう	幻獣筒【三ツ角】	名詞
みつつの	三ツ角	名詞
こうこくどあるどみな	煌黒弩アルドミナ	名詞
こうこくど	煌黒弩	名詞
あるどみな	アルドミナ	名詞
ごーるどゔぁるきりー	ゴールドヴァルキリー	名詞
こーればみっと	コーレバミット	名詞
ごくこうまじゃりゅうど	獄・紅魔邪龍弩	名詞
こうまじゃりゅうど	紅魔邪龍弩	名詞
こくりゅうよくど	黒龍翼弩	名詞
ごしゃばぁん	ゴシャバァン	名詞
こすいじゅうしずくときゆる	狐水銃シズクトキユル	名詞
こすいじゅう	狐水銃	名詞
しずくときゆる	シズクトキユル	名詞
ごるむあさると	ゴルム・アサルト	名詞
ごるむ	ゴルム	名詞
あさると	アサルト	名詞
さんだーぶりっつ	サンダーブリッツ	名詞
しぇるばれっと	シェルバレット	名詞
じゃーまぺすかーど	ジャーマペスカード	名詞
じゃぎっとふぁいあ	ジャギットファイア	名詞
しゃくえんのえんさー	灼炎のエンサー	名詞
しゃくえん	灼炎	名詞
えんさー	エンサー	名詞
しょっとぼうがん	ショットボウガン	名詞
しるばーすぱるたかす	シルバースパルタカス	名詞
しんめいらいじゅう	真冥雷銃	名詞
しんめいらいじゅう	真冥雷銃【金糸雀】	名詞
きんすざく	金糸雀	名詞
すとーむすりんがー	ストームスリンガー	名詞
すとーむすりんがー	ストームスリンガー(逸品)	名詞
すとらいぷしぇる	ストライプシェル	名詞
せきりゅうのねらういしゆみ	赤龍ノ狙ウ弩	名詞
ぜっきょくめいらいじゅう	絶極冥雷銃	名詞
ぜっきょくめいらいじゅう	絶極冥雷銃【野鶲】	名詞
のひたき	野鶲	名詞
ぜっらいしんほう	絶雷振砲	名詞
せんのてきをやぶりしせんしゃ	千ノ敵ヲ破リシ戦車	名詞
だーくふりるぱらそる	ダークフリルパラソル	名詞
たいたんぐれねーど	タイタングレネード	名詞
ちゃながしゅーと	チャナガシュート	名詞
つめたきつきのろうど	冷たき月の狼弩	名詞
ろうど	狼弩	名詞
でぃすゔぁらーく	ディスヴァラーク	名詞
てぃたばーら	ティタ・バーラ	名詞
てぃた	ティタ	名詞
ばーら	バーラ	名詞
でぃるあにんばす	ディルアニンバス	名詞
ているすとりんぐ	テイルストリング	名詞
ておばれった	テオ＝バレッタ	名詞
てお	テオ	名詞
ばれった	バレッタ	名詞
でざーとすとーむ	デザートストーム	名詞
でぜるとている	デゼルトテイル	名詞
でゅーくうぃばす	デュークウィバス	名詞
てんぐじょうかのじゅう	天具・常花の銃	名詞
てんぐ	天具	名詞
じょうか	常花	名詞
あまかけるじゅう	天翔銃	名詞
でんりゅうど	電竜弩	名詞
てんろうほう	天狼砲	名詞
てんろうほう	天狼砲【北斗】	名詞
ほくと	北斗	名詞
ど	ド	名詞
とうおうけいど	凍王軽弩	名詞
とうおうけいど	凍王軽弩【冠雪】	名詞
かんせつ	冠雪	名詞
どきゅうどあるでばらん	ド級弩アルデバラン	名詞
どきゅうど	ド級弩	名詞
あるでばらん	アルデバラン	名詞
にげるふるぐる	ニゲル＝フルグル	名詞
にげる	ニゲル	名詞
ふるぐる	フルグル	名詞
ねろあくちぬら	ネロ・アクチヌラ	名詞
ねろ	ネロ	名詞
あくちぬら	アクチヌラ	名詞
のゔぁえら	ノヴァエラ	名詞
はーいげゔぁー	ハーイゲヴァー	名詞
はーとふるぎぷす	ハートフルギプス	名詞
ばーるだおら	バール＝ダオラ	名詞
ばーる	バール	名詞
だおら	ダオラ	名詞
はがんどばりすたいと	破岩弩バリスタイト	名詞
はがんど	破岩弩	名詞
ばりすたいと	バリスタイト	名詞
ばずるぼろーか	バズルボローカ	名詞
ばぜるたいふーん	バゼルタイフーン	名詞
ばるおっじ	バル・オッジ	名詞
ばる	バル	名詞
おっじ	オッジ	名詞
はるよるこいほう	春夜鯉砲	名詞
ばれっとふぉっくす	バレットフォックス	名詞
はんたーらいふる	ハンターライフル	名詞
びーとすないぱー	ビートスナイパー	名詞
ひどぅんげいず	ヒドゥンゲイズ	名詞
ひもうけいど	緋猛軽弩	名詞
ひもうけいど	緋猛軽弩【雄飛】	名詞
ゆうひ	雄飛	名詞
ひゃくりゅうけいど	百竜軽弩	名詞
ひゅーじすてぃんぐ	ヒュージ・スティング	名詞
ひゅーじ	ヒュージ	名詞
すてぃんぐ	スティング	名詞
びゅーべる	ビューベル	名詞
ひょうだん	瓢弾	名詞
ひらいど	飛雷弩	名詞
ふぃおしだーれ	フィオシダーレ	名詞
ふがくがん	浮岳ガン	名詞
ふがく	浮岳	名詞
ふくふくちゃがんまん	吹吹チャガンマン	名詞
ふくふく	吹吹	名詞
ちゃがんまん	チャガンマン	名詞
ぶりざーどたびゅら	ブリザードタビュラ	名詞
ふるっとしりんじ	フルットシリンジ	名詞
ぶれいずらいふる	ブレイズライフル	名詞
ぷんとてゅれいら	プント・テュレイラ	名詞
ぷんと	プント	名詞
てゅれいら	テュレイラ	名詞
へいぜんたるるみえふぃじ	炳然たるルミエフィジ	名詞
へいぜん	炳然	名詞
るみえふぃじ	ルミエフィジ	名詞
べるだーばれっと	ベルダーバレット	名詞
ぽいずんぎふと	ポイズンギフト	名詞
ほうどえいぬかむるばす	崩弩エイヌカムルバス	名詞
ほうど	崩弩	名詞
えいぬかむるばす	エイヌカムルバス	名詞
ほうどのきんぞくき	宝弩の金属器	名詞
ほうど	宝弩	名詞
ほーねすだおら	ホーネス＝ダオラ	名詞
ほーねす	ホーネス	名詞
だおら	ダオラ	名詞
まがついしゆみ	禍ツ弩	名詞
まがついしゆみ	禍ツ弩【封】	名詞
まさくるばれっと	マサクルバレット	名詞
まっどらいふる	マッドライフル	名詞
めいえんけいいしゆみからざ	冥淵軽弩カラザ	名詞
めいえんけいど	冥淵軽弩	名詞
からざ	カラザ	名詞
めいるしゅとろーむ	メイルシュトローム	名詞
やくとばれっと	ヤクトバレット	名詞
ゆくものいしゆみ	ユクモノ弩	名詞
らーじゃんでぐ	ラージャンデグ	名詞
らいじんほうさんだーくるす	雷迅砲サンダークルス	名詞
らいじんほう	雷迅砲	名詞
さんだーくるす	サンダークルス	名詞
らゔぁしゅとろーむ	ラヴァシュトローム	名詞
らさーさあるしあら	ラサーサアルシアラ	名詞
りょうらんのたいど	繚乱の対弩	名詞
りょうらん	繚乱	名詞
たいど	対弩	名詞
れいおぶゔぁいす	レイofヴァイス	名詞
れっくすたんく	レックスタンク	名詞
れっせんけいどねいんしーん	烈閃軽弩ネインシーン	名詞
れっせんけいど	烈閃軽弩	名詞
ねいんしーん	ネインシーン	名詞
ろあるすりんぐ	ロアルスリング	名詞
ろーぜんげゔぇーあ	ローゼンゲヴェーア	名詞
ろんなーくぷしか	ロンナークプシカ	名詞
でぃーがん	D=ガン	名詞
ゔいえるえすぜろぜろごに	VLS-0052	名詞

##########
# 重弩
へびぃぼうがん	ヘビィボウガン	名詞
へびーぼうがん	ヘビィボウガン	名詞
へびぃぼうがん	重弩	名詞
へびーぼうがん	重弩	名詞
じゅうど	重弩	名詞
あいあんあさると	アイアンアサルト	名詞
あいすえくれーる	アイスエクレール	名詞
あいすすろわー	アイススロワー	名詞
あいるーたいほう	アイルー大砲	名詞
あおくまごうとう	青熊轟筒	名詞
あおくまごうとう	青熊轟筒【川漁】	名詞
かわりょう	川漁	名詞
あかしまのしんほう	あかしまの神砲	名詞
あかしま	あかしま	名詞
しんほう	神砲	名詞
あぐなぶらすたー	アグナブラスター	名詞
あっきさえひざまづくどごうのほう	悪鬼サエ啼ク怒号ノ砲	名詞
あもーれあねっろ	アモーレ＝アネッロ	名詞
あもーれ	アモーレ	名詞
あねっろ	アネッロ	名詞
あらなわこほう	荒縄鼓砲	名詞
あるぎゅだおら	アルギュ＝ダオラ	名詞
あるぎゅだおら	アルギュ＝ダオラSP	名詞
あるぎゅ	アルギュ	名詞
だおら	ダオラ	名詞
だおら	ダオラSP	名詞
あるばれすと	アルバレスト	名詞
いゃんくっくほう	イャンクック砲	名詞
いんじぇくしょんがん	インジェクションガン	名詞
ゔぉるきゃのん	ヴォルキャノン	名詞
うっちゃり	撃ッチャリ	名詞
えるどらかのーね	エルドラカノーネ	名詞
えんひじゅうど	炎妃重弩	名詞
えんひじゅうど	炎妃重弩【愛執】	名詞
あいしゅう	愛執	名詞
えんひりゅうのせきじゅうど	炎妃龍の石重弩	名詞
えんひりゅう	炎妃龍	名詞
せきじゅうど	石重弩	名詞
えんぷれすかのん	エンプレスカノン	名詞
おうがほう	王牙砲	名詞
おうがほう	王牙砲【山雷】	名詞
さんらい	山雷	名詞
おうがほう	王牙砲	名詞
おうがほう	王牙砲【震雷】	名詞
しんらい	震雷	名詞
おうこくきしじゅうどぷらいど	王国騎士重弩プライド	名詞
おうこくきしじゅうど	王国騎士重弩	名詞
ぷらいど	プライド	名詞
おおづつじゅうほう	大筒重砲	名詞
おるどまきなHB	オルドマキナ・HB	名詞
おるどまきな	オルドマキナ	名詞
えいちびー	HB	名詞
かーまえれおーん	カーマエレオーン	名詞
かいぞうほう	海造砲	名詞
かいぞうほう	海造砲【灰燼】	名詞
かいじん	灰燼	名詞
かいぞくじぇーきゃのん	海賊Jキャノン	名詞
かいぞくじぇー	海賊J	名詞
きゃのん	キャノン	名詞
がいらあさると	ガイラアサルト	名詞
がうぷしか	ガウプシカ	名詞
かおすういんぐ	カオスウイング	名詞
がおれんすふぃあ	ガオレンスフィア	名詞
かぜのぞくじゅうど	風ノ賊重弩	名詞
がのすぷれっしゃー	ガノスプレッシャー	名詞
かほう	カホウ	名詞
かむらのてつじゅうど	カムラノ鉄重弩	名詞
かりゅうもうじゅうどさばは	火竜猛重弩サバハ	名詞
かりゅうもうじゅうど	火竜猛重弩	名詞
もうじゅうど	猛重弩	名詞
さばは	サバハ	名詞
かんなりのしんほう	かんなりの神砲	名詞
かんなり	かんなり	名詞
しんほう	神砲	名詞
きかいはくりゅうじゅうほう	輝界白竜重砲	名詞
きかいはくりゅうじゅうほう	輝界白竜重砲【光叫】	名詞
こうきゅう	光叫	名詞
ぎがんばーる	ギガン＝バール	名詞
ぎがん	ギガン	名詞
ばーる	バール	名詞
きゃろむぼーる	キャロムボール	名詞
きょうこく	凶刻	名詞
きょうこく	凶刻【時雨】	名詞
しぐれ	時雨	名詞
きょじゅうほう	巨獣砲	名詞
ぎんかりゅうじゅうほう	銀火竜重砲	名詞
ぎんかりゅうじゅうほう	銀火竜重砲【冥王】	名詞
めいおう	冥王	名詞
きんじしほう	金獅子砲	名詞
きんじんしょうりゅうじゅうど	金塵翔龍重弩	名詞
きんじんしょうりゅうじゅうど	金塵翔龍重弩【風轟】	名詞
きんじんしょうりゅう	金塵翔龍	名詞
ふうごう	風轟	名詞
ぎんよくのじゅうほう	銀翼の重砲	名詞
ぎんよく	銀翼	名詞
じゅうほう	重砲	名詞
くいっくきゃすと	クイックキャスト	名詞
くしゃれら	クシャ＝レラ	名詞
くしゃ	クシャ	名詞
れら	レラ	名詞
ぐらびもすはうる	グラビモスハウル	名詞
げぇれーらきゃのん	ゲェレーラキャノン	名詞
けんらんたるるすたるまふ	絢爛たるルスタルマフ	名詞
けんらん	絢爛	名詞
るすたるまふ	ルスタルマフ	名詞
こうほうあーくあんせむ	皇砲アークアンセム	名詞
こうほう	皇砲	名詞
あーくあんせむ	アークアンセム	名詞
ごうほう	轟砲	名詞
ごうほう	轟砲【虎頭】	名詞
ことう	虎頭	名詞
こーれがいと	コーレガイト	名詞
ごくらいほう	極雷砲	名詞
ごくらいほう	極雷砲【不破】	名詞
ふわ	不破	名詞
ごくりゅうほうさえった	極龍砲サエッタ	名詞
ごくりゅうほう	極龍砲	名詞
さえった	サエッタ	名詞
こじゅうほうはらいにけりな	狐重砲ハライニケリナ	名詞
こじゅうほう	狐重砲	名詞
はらいにけりな	ハライニケリナ	名詞
ごるむかのん	ゴルム・カノン	名詞
ごるむ	ゴルム	名詞
かのん	カノン	名詞
さいどあるしゃまり	サイドアルシャマリ	名詞
さんどだいばー	サンドダイバー	名詞
さんどりよん	サンドリヨン	名詞
じゃーにぃじぇりぃ	ジャーニィ・ジェリィ	名詞
じゃーにぃ	ジャーニィ	名詞
じぇりぃ	ジェリィ	名詞
しゃくえんのいぐなー	灼炎のイグナー	名詞
いぐなー	イグナー	名詞
じゃぐらすきゃのん	ジャグラスキャノン	名詞
しんめいらいじゅうほう	真冥雷重砲	名詞
しんめいらいじゅうほう	真冥雷重砲【天鷹】	名詞
てんたか	天鷹	名詞
すれいぺんぎーご	スレイペンギーゴ	名詞
せきりゅうのうつほう	赤龍ノ撃ツ砲	名詞
ぜのじぃか	ゼノ＝ジィカ	名詞
ぜの	ゼノ	名詞
じぃか	ジィカ	名詞
せんりつのへるしゃふと	戦慄のヘルシャフト	名詞
へるしゃふと	ヘルシャフト	名詞
たんくめいじ	タンクメイジ	名詞
ちゃーじぐりふさると	チャージグリフサルト	名詞
つめたきつきのくどうほう	冷たき月の駆動砲	名詞
くどうほう	駆動砲	名詞
でぃあぶろすほう	ディアブロス砲	名詞
でぃすてぃはーだ	ディスティハーダ	名詞
てぃらーふぇるぜん	ティラーフェルゼン	名詞
ておあーてぃれり	テオ＝アーティレリ	名詞
てお	テオ	名詞
あーてぃれり	アーティレリ	名詞
ておゔぇるめりお	テオ＝ヴェルメリオ	名詞
ておゔぇるめりお	テオ＝ヴェルメリオSP	名詞
てお	テオ	名詞
ゔぇるめりお	ヴェルメリオ	名詞
ゔぇるめりお	ヴェルメリオSP	名詞
でゅーくかのん	デュークカノン	名詞
でゅえるきゃすと	デュエルキャスト	名詞
でるふだおら	デルフ＝ダオラ	名詞
でるふ	デルフ	名詞
だおら	ダオラ	名詞
てんぐしゃくじょうのいしゆみ	天具・錫杖の弩	名詞
てんぐしゃくじょう	天具・錫杖	名詞
しゃくじょう	錫杖	名詞
でんりゅうほう	電竜砲	名詞
でんりゅうほう	電竜砲【進撃】	名詞
しんげき	進撃	名詞
てんびんといふなのしろむくろ	天秤といふ名の白骸	名詞
とうばつたいせいしきじゅうほう	討伐隊正式重砲	名詞
どがんごくじゅうど	弩岩獄重弩	名詞
どがんごくじゅうど	弩岩獄重弩【狙熱射】	名詞
ねらいあつくうて	狙熱射	名詞
どはつほう	怒髪砲	名詞
どはつほう	怒髪砲【紅桜】	名詞
どはつほう	怒髪砲【紅桜】SP	名詞
べにさくら	紅桜	名詞
とらぐろあー	トラグ・ロアー	名詞
とらぐ	トラグ	名詞
ろあー	ロアー	名詞
とりがーおぶはざーど	トリガーofハザード	名詞
とろぺくるがん	トロペクルガン	名詞
ななあずーるかのん	ナナ＝アズールカノン	名詞
なな	ナナ	名詞
あずーるかのん	アズールカノン	名詞
ななほしたいほう	ナナホシ大砲	名詞
にげるてねぶら	ニゲル＝テネブラ	名詞
